Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Ten Oever, Sanne; Schroeder, Charles E; Poeppel, David; Van Atteveldt, Nienke; Mehta, Ashesh D; Mégevand, Pierre; Groppe, David M; Zion-Golumbic, Elana; ",Low-frequency cortical oscillations entrain to subthreshold rhythmic auditory stimuli,Journal of Neuroscience,37,19,4903-4912,2017,Society for Neuroscience
"De Graaf, TA; Duecker, F; Stankevich, Y; Ten Oever, Sanne; Sack, AT; ",Seeing in the dark: Phosphene thresholds with eyes open versus closed in the absence of visual inputs,Brain stimulation,10,4,828-835,2017,Elsevier
"Smulders, Fren TY; Ten Oever, Sanne; Donkers, Franc CL; Quaedflieg, Conny WEM; Van de Ven, Vincent; ",Single‐trial log transformation is optimal in frequency analysis of resting EEG alpha,European Journal of Neuroscience,48,7,2585-2598,2018,
"Zoefel, Benedikt; Ten Oever, Sanne; Sack, Alexander T; ",The involvement of endogenous neural oscillations in the processing of rhythmic input: More than a regular repetition of evoked neural responses,Frontiers in neuroscience,12,,95,2018,Frontiers
"Schilberg, Lukas; Engelen, Tahnée; Ten Oever, Sanne; Schuhmann, Teresa; De Gelder, Beatrice; de Graaf, Tom A; Sack, Alexander T; ",Phase of beta-frequency tACS over primary motor cortex modulates corticospinal excitability,Cortex,103,,142-152,2018,Elsevier
"Petras, Kirsten; Ten Oever, Sanne; Jacobs, Christianne; Goffaux, Valerie; ",Coarse-to-fine information integration in human vision,NeuroImage,186,,103-112,2019,Academic Press
"Schuhmann, Teresa; Kemmerer, Selma K; Duecker, Felix; De Graaf, Tom A; Ten Oever, Sanne; De Weerd, Peter; Sack, Alexander T; ",Left parietal tACS at alpha frequency induces a shift of visuospatial attention,PLoS One,14,11,e0217729,2019,"Public Library of Science San Francisco, CA USA"
"De Graaf, Tom A; Thomson, Alix; Janssens, Shanice EW; Van Bree, Sander; Ten Oever, Sanne; Sack, Alexander T; ",Does alpha phase modulate visual target detection? Three experiments with tACS‐phase‐based stimulus presentation,European Journal of Neuroscience,51,11,2299-2313,2020,
"Ten Oever, Sanne; Sack, Alexander T; ",Interactions between rhythmic and feature predictions to create parallel time-content associations,Frontiers in Neuroscience,,,791,2019,Frontiers
"Gallotto, Stefano; Duecker, Felix; Ten Oever, Sanne; Schuhmann, Teresa; De Graaf, Tom A; Sack, Alexander T; ",Relating alpha power modulations to competing visuospatial attention theories,NeuroImage,207,,116429,2020,Academic Press
"Ten Oever, Sanne; De Weerd, Peter; Sack, Alexander T; ",Phase-dependent amplification of working memory content and performance,Nature communications,11,1,1-8,2020,Nature Publishing Group
"Ten Oever, Sanne; Meierdierks, Tobias; Duecker, Felix; De Graaf, Tom A; Sack, Alexander T; ",Phase-coded oscillatory ordering promotes the separation of closely matched representations to optimize perceptual discrimination,Iscience,23,7,101282,2020,Elsevier
"Kaufeld, Greta; Bosker, Hans Rutger; Ten Oever, Sanne; Alday, Phillip M; Meyer, Antje S; Martin, Andrea E; ",Linguistic structure and meaning organize neural oscillations into a content-specific hierarchy,Journal of Neuroscience,40,49,9467-9475,2020,Society for Neuroscience
"Archila-Meléndez, Mario E; Valente, Giancarlo; Gommer, Erik D; Correia, João M; Ten Oever, Sanne; Peters, Judith C; Reithler, Joel; Hendriks, Marc PH; Cornejo Ochoa, William; Schijns, Olaf EMG; ",Combining gamma with alpha and beta power modulation for enhanced cortical mapping in patients with focal epilepsy,Frontiers in Human Neuroscience,,,548,2020,Frontiers
"van Der Werf, Olof J; Ten Oever, Sanne; Schuhmann, Teresa; Sack, Alexander T; ","No evidence of rhythmic visuospatial attention at cued locations in a spatial cuing paradigm, regardless of their behavioural relevance",European Journal of Neuroscience,,,,2021,
"Petras, Kirsten; Ten Oever, Sanne; Dalal, Sarang S; Goffaux, Valerie; ",Information redundancy across spatial scales modulates early visual cortical processing,NeuroImage,244,,118613,2021,Academic Press
"Ten Oever, Sanne; Martin, Andrea E; ",An oscillating computational model can track pseudo-rhythmic speech by using linguistic predictions,Elife,10,,e68066,2021,eLife Sciences Publications Limited
"Janssens, SEW; Sack, AT; Ten Oever, S; de Graaf, TA; ",Calibrating rhythmic stimulation parameters to individual EEG markers: the consistency of individual alpha frequency in practical lab settings.,The European Journal of Neuroscience,,,,2021,
"Schilberg, Lukas; Ten Oever, Sanne; Schuhmann, Teresa; Sack, Alexander T; ",Phase and power modulations on the amplitude of TMS-induced motor evoked potentials,PloS one,16,9,e0255815,2021,"Public Library of Science San Francisco, CA USA"
"Ten Oever, Sanne; Sack, Alexander T; Oehrn, Carina R; Axmacher, Nikolai; ",An engram of intentionally forgotten information,Nature communications,12,1,1-14,2021,Nature Publishing Group
"Kemmerer, SK; Sack, AT; de Graaf, TA; Ten Oever, Sanne; De Weerd, P; Schuhmann, T; ",Frequency-specific transcranial neuromodulation of alpha power alters visuospatial attention performance,Brain Research,1782,,147834,2022,Elsevier
"Ten Oever, Sanne; van der Werf, Olof J; Schuhmann, Teresa; Sack, Alexander T; ","Absence of behavioural rhythms: Noise or unexplained neuronal mechanisms?(response to Fiebelkorn, 2021)",European Journal of Neuroscience,,,,2022,
"Janssens, Shanice EW; Ten Oever, Sanne; Sack, Alexander T; de Graaf, Tom A; ",“Broadband Alpha Transcranial Alternating Current Stimulation”: Exploring a new biologically calibrated brain stimulation protocol,NeuroImage,253,,119109,2022,Academic Press
"Kemmerer, Selma K; de Graaf, Tom A; Ten Oever, Sanne; Erkens, Mayke; De Weerd, Peter; Sack, Alexander T; ",Parietal but not temporoparietal alpha-tACS modulates endogenous visuospatial attention,Cortex,,,,2022,Elsevier
"Ten Oever, Sanne; Carta, Sara; Kaufeld, Greta; Martin, Andrea E; ",Neural tracking of phrases in spoken language comprehension is automatic and task-dependent,Elife,11,,e77468,2022,eLife Sciences Publications Limited
"Ten Oever, Sanne; Kaushik, Karthikeya; Martin, Andrea E; ",Inferring the nature of linguistic computations in the brain,PLOS Computational Biology,18,7,e1010269,2022,"Public Library of Science San Francisco, CA USA"
"Ten Oever, Sanne; Titone, Lorenzo; te Rietmolen, Noemie; Martin, Andrea E; ",Phase-dependent word perception emerges from region-specific sensitivity to the statistics of language,bioRxiv,,,2023.04. 17.537171,2023,Cold Spring Harbor Laboratory
"Ding, Rong; ten Oever, Sanne; Martin, Andrea E; ",Pronoun resolution via reinstatement of referent-related activity in the delta band,bioRxiv,,,2023.04. 16.537082,2023,Cold Spring Harbor Laboratory
"Ten Oever, Sanne; Martin, Andrea E; ",Interdependence of what and when in the brain,Journal of Cognitive Neuroscience,12,,,2023,
"Van der Werf, Olof J; Schuhmann, Teresa; De Graaf, Tom; Ten Oever, Sanne; Sack, Alexander T; ",Investigating the role of task relevance during rhythmic sampling of spatial locations,Scientific Reports,13,1,12707,2023,Nature Publishing Group UK London
